questions,answers,questions_with_answers,entity,image_ids
RT @JayKenMinaj _ : Me outside of where George Zimmerman got shot at . You know God is so good . http://t.co/Z3neVBQ7vF Which word(s) correspond to the person in the sentence? ,George Zimmerman,RT @JayKenMinaj _ : Me outside of where George Zimmerman got shot at . You know God is so good . http://t.co/Z3neVBQ7vF Which word(s) correspond to the person in the sentence? Answer: George Zimmerman,person,1015799.jpg
"Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background ) http://t.co/pQdOHx3s Which word(s) correspond to the location in the sentence? ",Hermitage Warf,"Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background ) http://t.co/pQdOHx3s Which word(s) correspond to the location in the sentence? Answer: Hermitage Warf",location,1109405.jpg
RT @redbullESPORTS : Smash Shiba is stoked for #NWM7 Melee Grand Finals . http://t.co/hmTEF9q0gz Which word(s) correspond to the misceallonous entity in the sentence? ,Smash Shiba,RT @redbullESPORTS : Smash Shiba is stoked for #NWM7 Melee Grand Finals . http://t.co/hmTEF9q0gz Which word(s) correspond to the misceallonous entity in the sentence? Answer: Smash Shiba,misceallonous entity,563049.jpg
RT @washingtonpost : Two maps that show the shocking inequality in Baltimore http://t.co/FssPdKxglv http://t.co/JZiqXSTNec Which word(s) correspond to the location in the sentence? ,Baltimore,RT @washingtonpost : Two maps that show the shocking inequality in Baltimore http://t.co/FssPdKxglv http://t.co/JZiqXSTNec Which word(s) correspond to the location in the sentence? Answer: Baltimore,location,50447.jpg
"Rep . Howard Coble mingling ahead of press conference , expected to announce retirement . http://t.co/8mdDRp8Ani Which word(s) correspond to the person in the sentence? ",Howard Coble,"Rep . Howard Coble mingling ahead of press conference , expected to announce retirement . http://t.co/8mdDRp8Ani Which word(s) correspond to the person in the sentence? Answer: Howard Coble",person,418340.jpg
Psychologists explain why Katie Hopkins is just so Katie #Hopkins http://t.co/zqrdgJyN0k http://t.co/LSVeU4tKne Which word(s) correspond to the person in the sentence? ,Katie Hopkins,Psychologists explain why Katie Hopkins is just so Katie #Hopkins http://t.co/zqrdgJyN0k http://t.co/LSVeU4tKne Which word(s) correspond to the person in the sentence? Answer: Katie Hopkins,person,50168.jpg
Do you even meditate tho bro ? I start class at 7 : 30pm this eve in LA on the wess side . https : //t . co/w7rktBN5ac http://t.co/rFEv3dy13C Which word(s) correspond to the location in the sentence? ,LA,Do you even meditate tho bro ? I start class at 7 : 30pm this eve in LA on the wess side . https : //t . co/w7rktBN5ac http://t.co/rFEv3dy13C Which word(s) correspond to the location in the sentence? Answer: LA,location,684051.jpg
RT @cnni : Pope Francis calls for an end to the suffering of people in conflicts : http://t.co/cB5PlzTLFG @Pontifex http://t.co/QPNWSUUZ3Q Which word(s) correspond to the person in the sentence? ,Pope Francis,RT @cnni : Pope Francis calls for an end to the suffering of people in conflicts : http://t.co/cB5PlzTLFG @Pontifex http://t.co/QPNWSUUZ3Q Which word(s) correspond to the person in the sentence? Answer: Pope Francis,person,1351124.jpg
RT @ShervinSinatra : Amsterdam Savage AF . http://t.co/btkv2ddE58 Which word(s) correspond to the organization in the sentence? ,Amsterdam AF Savage,RT @ShervinSinatra : Amsterdam Savage AF . http://t.co/btkv2ddE58 Which word(s) correspond to the organization in the sentence? Answer: Amsterdam AF Savage,organization,94770.jpg
RT @jordancornette : This is how Alex Rodriguez spends his free time . Hangin out with @joelcornette at Notre Dame tailgates . ARod is Irish h… Which word(s) correspond to the person in the sentence? ,Alex Rodriguez,RT @jordancornette : This is how Alex Rodriguez spends his free time . Hangin out with @joelcornette at Notre Dame tailgates . ARod is Irish h… Which word(s) correspond to the person in the sentence? Answer: Alex Rodriguez,person,64931.jpg
"RT @AuthorGiaLee : I ' ve titled this one "" Interplay of Light &amp ; Shadow . "" Took it in beautiful Columbia , SC . http://t.co/7ubozPWFAa Which word(s) correspond to the location in the sentence? ",Columbia,"RT @AuthorGiaLee : I ' ve titled this one "" Interplay of Light &amp ; Shadow . "" Took it in beautiful Columbia , SC . http://t.co/7ubozPWFAa Which word(s) correspond to the location in the sentence? Answer: Columbia",location,63944.jpg
Jillian enjoys a birthday bath--and a blue snout . Join us this weekend : http://t.co/Pr5z9pQ8Ea Photo by Sandi Wong http://t.co/uQWCB32Vy8 Which word(s) correspond to the person in the sentence? ,Jillian,Jillian enjoys a birthday bath--and a blue snout . Join us this weekend : http://t.co/Pr5z9pQ8Ea Photo by Sandi Wong http://t.co/uQWCB32Vy8 Which word(s) correspond to the person in the sentence? Answer: Jillian,person,1285253.jpg
RT @noisywoman : @davrosz @SamAntixMusic This Peter Dutton ? http://t.co/yjPOz2aLEW Which word(s) correspond to the person in the sentence? ,Peter Dutton,RT @noisywoman : @davrosz @SamAntixMusic This Peter Dutton ? http://t.co/yjPOz2aLEW Which word(s) correspond to the person in the sentence? Answer: Peter Dutton,person,1330809.jpg
RT @victoiregarnier : Alex had a great 8th Birthday Party @hotelfootballuk Having @GNev2 join in the fun made his day ! http://t.co/ZzCN3FwAf9 Which word(s) correspond to the person in the sentence? ,Alex,RT @victoiregarnier : Alex had a great 8th Birthday Party @hotelfootballuk Having @GNev2 join in the fun made his day ! http://t.co/ZzCN3FwAf9 Which word(s) correspond to the person in the sentence? Answer: Alex,person,317066.jpg
"RT @TMZ : "" Walking Dead "" star , Seth Gilliam , ARRESTED for DUI , weed , and triple-digit speeding http://t.co/M4t6U5qV2K http://t.co/bSZ88kossr Which word(s) correspond to the misceallonous entity in the sentence? ",Walking Dead,"RT @TMZ : "" Walking Dead "" star , Seth Gilliam , ARRESTED for DUI , weed , and triple-digit speeding http://t.co/M4t6U5qV2K http://t.co/bSZ88kossr Which word(s) correspond to the misceallonous entity in the sentence? Answer: Walking Dead",misceallonous entity,589703.jpg
"AK Park , Wabash Ave http://t.co/BTrsUnTlos Which word(s) correspond to the location in the sentence? ",AK Park,"AK Park , Wabash Ave http://t.co/BTrsUnTlos Which word(s) correspond to the location in the sentence? Answer: AK Park",location,72512.jpg
Looking for a great moms group in Peoria ? Join us starting Sept 16th ! http://t.co/SuKvqee4ls #parenting #peoria http://t.co/C5lj7m5kvH Which word(s) correspond to the location in the sentence? ,Peoria,Looking for a great moms group in Peoria ? Join us starting Sept 16th ! http://t.co/SuKvqee4ls #parenting #peoria http://t.co/C5lj7m5kvH Which word(s) correspond to the location in the sentence? Answer: Peoria,location,1299485.jpg
