f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0,0,0.5379912663755458,blip2-opt-2.7b,0,0-507-616-22,0_prompt,False,5,,,,,,,,,,,275,0,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,0,,,,,,,,,,,,,,,,,,,59,0,,,,,,,,,,,,,,,,,,,628,616,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,
0,0,0.5414847161572053,blip2-opt-2.7b,0,0-517-620-8,0_prompt,False,4,,,,,,,,,,,275,0,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,0,,,,,,,,,,,,,,,,,,,59,0,,,,,,,,,,,,,,,,,,,628,620,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,
0.05565217391304348,0.03187250996015936,0.525764192139738,blip2-opt-2.7b,0.2191780821917808,16-486-586-57,0_prompt,False,3,,,,,,,,,,,275,6,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,,,59,1,,,,,,,,,,,,,,,,,,,628,586,,,,,,,,,0.05565217391304348,,,,,0.05565217391304348,,,,,,,,,,0.05565217391304348,,,,,,,,,,0.05565217391304348,,,,,0.05565217391304348,,,,,,,0.05565217391304348,,,,,0.05565217391304348,,,,,0.05565217391304348,,,,,,0.05565217391304348,,,,,0.05565217391304348,,,,,
0.014260249554367202,0.007889546351084813,0.5170305676855895,blip2-opt-2.7b,0.07407407407407407,4-503-588-50,0_prompt,False,2,,,,,,,,,,,275,0,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,3,,,,,,,,,,,,,,,,,,,59,1,,,,,,,,,,,,,,,,,,,628,588,,,,,,,,,0.014260249554367202,,,,,0.014260249554367202,,,,,,,,,,0.014260249554367202,,,,,,,,,,0.014260249554367202,,,,,0.014260249554367202,,,,,,,0.014260249554367202,,,,,0.014260249554367202,,,,,0.014260249554367202,,,,,,0.014260249554367202,,,,,0.014260249554367202,,,,,
0.10014306151645208,0.07510729613733906,0.45065502183406114,blip2-opt-2.7b,0.15021459227467812,35-431-481-198,0_prompt,False,1,,,,,,,,,,,275,23,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,7,,,,,,,,,,,,,,,,,,,59,4,,,,,,,,,,,,,,,,,,,628,481,,,,,,,,,0.10014306151645208,,,,,0.10014306151645208,,,,,,,,,,0.10014306151645208,,,,,,,,,,0.10014306151645208,,,,,0.10014306151645208,,,,,,,0.10014306151645208,,,,,0.10014306151645208,,,,,0.10014306151645208,,,,,,0.10014306151645208,,,,,0.10014306151645208,,,,,
0.010695187165775402,0.006,0.5152838427947598,blip2-opt-2.7b,0.04918032786885246,3-497-587-58,0_prompt,False,0,,,,,,,,,,,275,0,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,2,,,,,,,,,,,,,,,,,,,59,1,,,,,,,,,,,,,,,,,,,628,587,,,,,,,,,0.010695187165775402,,,,,0.010695187165775402,,,,,,,,,,0.010695187165775402,,,,,,,,,,0.010695187165775402,,,,,0.010695187165775402,,,,,,,0.010695187165775402,,,,,0.010695187165775402,,,,,0.010695187165775402,,,,,,0.010695187165775402,,,,,0.010695187165775402,,,,,
0,0,0.5411214953271029,blip2-opt-2.7b,0,0-479-579-12,0_prompt,True,5,249,0,,,,,,,,,,,,,,,,,,,55,0,,,,,,,,,,,,,,,,,,,125,0,,,,,,,,,,,,,,,,,,,53,0,,,,,,,,,,,,,,,,,,,588,579,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,
0.026465028355387523,0.01511879049676026,0.5186915887850467,blip2-opt-2.7b,0.10606060606060606,7-456-548-59,0_prompt,True,4,249,3,,,,,,,,,,,,,,,,,,,55,0,,,,,,,,,,,,,,,,,,,125,4,,,,,,,,,,,,,,,,,,,53,0,,,,,,,,,,,,,,,,,,,588,548,,,,,,,,,,,,,,,,,,,,,,,,,0.026465028355387523,,,,,,,,,,0.026465028355387523,,,,,,,,,,,,,,,0.026465028355387523,,,,,,,,,,,,,,,,,,,,,0.026465028355387523,,,,,,,0.026465028355387523,,,,
0.04878048780487805,0.027600849256900213,0.5261682242990654,blip2-opt-2.7b,0.20967741935483872,13-458-550-49,0_prompt,True,3,249,4,,,,,,,,,,,,,,,,,,,55,0,,,,,,,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,,,53,1,,,,,,,,,,,,,,,,,,,588,550,,,,,,,,,,,,,,,,,,,,,,,,,0.04878048780487805,,,,,,,,,,0.04878048780487805,,,,,,,,,,,,,,,0.04878048780487805,,,,,,,,,,,,,,,,,,,,,0.04878048780487805,,,,,,,0.04878048780487805,,,,
0.0998389694041868,0.06919642857142858,0.47757009345794393,blip2-opt-2.7b,0.1791907514450867,31-417-480-142,0_prompt,True,2,249,18,,,,,,,,,,,,,,,,,,,55,1,,,,,,,,,,,,,,,,,,,125,11,,,,,,,,,,,,,,,,,,,53,1,,,,,,,,,,,,,,,,,,,588,480,,,,,,,,,,,,,,,,,,,,,,,,,0.0998389694041868,,,,,,,,,,0.0998389694041868,,,,,,,,,,,,,,,0.0998389694041868,,,,,,,,,,,,,,,,,,,,,0.0998389694041868,,,,,,,0.0998389694041868,,,,
